SPECID,fringe,reduction,sky,comment
G15_Y1_HS1_002,1,,,
G15_Y1_HS1_103,1,,,
G15_Y1_IN1_138,1,,,
G15_Y1_IN1_139,1,,,
G15_Y1_IN1_308,1,,,
G15_Y1_IN1_387,1,,,
G15_Y1_IS1_010,1,,,
G15_Y1_IS1_341,1,,,
G15_Y2_001_026,1,,,
G15_Y2_001_076,1,,,
G15_Y2_001_112,1,,,
G15_Y2_002_385,1,,,
G15_Y2_003_026,1,,,
G15_Y2_003_115,1,,,
G15_Y2_003_279,1,,,
G15_Y2_007_079,,1,,bad splice
G15_Y2_009_353,1,,,
G15_Y2_011_034,,1,,bad splice
G15_Y2_011_068,,1,,bad splice
G15_Y2_011_356,1,,,
G15_Y2_012_102,1,,,
G15_Y2_014_007,,1,,bad splice
G15_Y2_014_019,,1,,bad splice
G15_Y2_014_022,,1,,bad splice
G15_Y2_014_028,,1,,bad splice
G15_Y2_014_039,,1,,bad splice
G15_Y2_014_055,,1,,bad splice
G15_Y2_017_369,,,1,
G15_Y2_018_108,1,,,
G15_Y2_018_216,1,,,
G15_Y2_019_168,1,,,
G15_Y2_020_274,1,,,
G15_Y2_022_026,1,,,
G15_Y2_022_110,1,,,
G15_Y2_022_120,1,,,
G15_Y2_023_004,,,1,
G15_Y2_023_161,1,,,
G15_Y3_003_108,1,,,
G15_Y3_003_360,1,,,
G15_Y3_004_061,1,,,
G15_Y3_007_011,,,1,
G15_Y3_007_387,1,,,
G15_Y3_016_040,1,,,
G15_Y3_016_054,1,,,
G15_Y3_017_216,1,,,
G15_Y3_021_026,1,,,
G15_Y3_033_315,,,1,
G15_Y3_034_007,,1,,bad splice
G15_Y3_036_368,,,1,
G15_Y3_039_090,,,1,
G15_Y3_040_276,1,,,
G15_Y4_201_027,1,,,
G15_Y4_201_110,1,,,
G15_Y4_202_167,1,,,
G15_Y4_203_241,1,,,
G15_Y4_205_108,1,,,
G15_Y4_205_126,1,,,
G15_Y4_207_056,1,,,
G15_Y4_215_248,1,,,
G15_Y4_215_395,1,,,
G15_Y4_216_082,1,,,
G15_Y4_216_378,1,,,
G15_Y4_218_395,1,,,
G15_Y4_219_345,1,,,
G15_Y4_220_040,1,,,
G15_Y4_235_395,1,,,
G15_Y4_238_037,,1,,bad splice
G15_Y4_238_313,,,1,
G15_Y4_238_366,,1,,238 field error
G15_Y4_238_369,,1,,238 field error
G15_Y4_238_370,,1,,238 field error
G15_Y4_238_374,,1,,238 field error
G15_Y4_238_376,,1,,238 field error
G15_Y4_238_378,,1,,238 field error
G15_Y4_240_037,,1,,bad splice
G15_Y4_243_120,1,,,
G15_Y5_021_037,1,,,
G15_Y5_028_061,1,,,
G15_Y6_082_007,,1,,bad splice
G15_Y6_088_126,,1,,bad splice
G15_Y6_088_352,,1,,bad splice
G15_Y6_088_384,,1,,bad splice
G15_Y6_097_007,,1,,bad splice
G15_Y6_099_386,,1,,bad splice
G15_Y6_100_398,,1,,
G15_Y6_101_358,1,,,
G15_Y6_101_368,,1,,bad splice
G15_Y6_101_377,,1,,bad splice
G15_Y6_101_387,,1,,bad splice
G15_Y6_101_391,,1,,bad splice
G09_Y4_204_037,,,1,
G09_Y1_EX1_291,,,1,
G12_Y1_CND1_110,,,1,
G12_Y1_FND1_054,1,,,
G15_Y4_236_358,,1,,
G15_Y3_040_293,,,1,
G15_Y4_236_358,,1,,
G15_Y4_236_358,,1,,
G15_Y6_093_363,,1,,
G15_Y3_001_102,1,,,
G15_Y1_FN2_119,,1,,
G12_Y1_FT_034,,1,,
G15_Y2_009_305,1,,,
G15_Y4_204_039,,1,,
G15_Y1_DS2_028,,1,,
G12_Y6_040_233,,,1,
G15_Y1_DS2_026,,1,,
G15_Y6_100_361,,1,,
G15_Y6_100_356,1,,,
G15_Y6_100_383,,1,,
G02_Y5_112_061,,1,,
G12_Y3_032_283,,1,,
G15_Y3_023_067,,1,,
G15_Y1_FS2_046,,1,,
G15_Y3_037_003,,1,,
G12_Y6_060_074,,1,,
G15_Y4_206_011,,1,,
G12_Y6_060_061,,1,,
G15_Y2_013_173,1,,,
G02_Y5_107_025,,1,,
G12_Y6_057_385,,1,,
G15_Y4_215_315,,1,,
G15_Y1_AS1_110,1,,,
G12_Y1_GS1_056,1,,,
G02_Y4_028_057,,,1,
G15_Y4_203_396,1,,,
G15_Y6_108_019,,1,,
G02_Y4_040_262,1,,,
G15_Y4_203_015,,1,,bad splice
G12_Y4_204_011,,1,,bad splice
G12_Y1_IS2_106,1,,,
G15_Y6_084_030,,1,,bad splice
G15_Y3_015_010,,1,,bad splice
G15_Y6_087_021,,1,,bad splice
G02_Y6_005_028,,1,,bad splice
G15_Y6_097_021,,1,,bad splice
G02_Y4_043_286,1,,,
G12_Y6_060_021,,1,,bad splice
G15_Y1_DS2_017,,1,,bad splice
G15_Y6_099_013,,1,,bad splice
G15_Y2_013_071,,1,,bad splice
G02_Y5_079_071,,1,,bad splice
G12_Y6_055_342,,1,,bad splice
G15_Y4_203_040,,1,,bad splice
G15_Y1_GX2_033,,1,,bad splice
G15_Y1_DS2_076,,1,,bad splice
G15_Y1_CS1_031,1,,,
G15_Y6_093_075,,1,,
G15_Y1_IS1_090,,,1,bad splice
G02_Y5_089_041,,1,,
G15_Y2_001_081,1,,,
G02_Y5_076_056,,1,,bad splice
G15_Y3_050_008,,1,,bad splice
G15_Y1_DN1_264,,1,,DN1 field error
G15_Y2_010_072,,1,,bad splice
G15_Y2_007_014,,1,,bad splice
G02_Y5_074_388,,1,,bad splice
G15_Y6_076_381,,1,,bad splice
G15_Y1_DN2_052,,1,,bad splice
G15_Y1_BN2_365,1,,,
G02_Y5_089_022,,1,,
G12_Y1_IS2_116,1,,,
G15_Y1_DS1_021,1,,,
G12_Y1_DN1_396,,1,,DN1 field error
G15_Y2_011_065,,1,,bad splice
G02_Y4_042_315,,1,,bad splice
G15_Y3_021_365,1,,,
G15_Y2_011_036,,1,,bad splice
G02_Y5_080_028,,1,,bad splice
G02_Y5_076_073,,1,,bad splice
G15_Y1_DN1_034,,1,,DN1 field error
G09_Y4_226_018,,1,,bad splice
G15_Y2_011_011,,1,,bad splice
G15_Y6_088_023,,1,,bad splice
G15_Y1_DS2_039,,1,,bad splice
G15_Y6_082_041,,1,,bad splice
G15_Y2_011_064,,1,,bad splice
G15_Y6_076_232,,1,,bad splice
G09_Y2_030_244,1,,,
G09_Y1_IN2_130,1,,,
G09_Y1_CN2_060,1,,,
G09_Y1_IS2_021,1,,,
G15_Y3_016_107,1,,,
G02_Y4_033_110,1,,,
G15_Y1_DN1_397,,1,,DN1 field error
G15_Y1_DN1_369,,1,,DN1 field error
G15_Y1_DN1_358,,1,,DN1 field error
G15_Y1_DN1_377,,1,,DN1 field error
G15_Y1_IN1_136,1,,,
G12_Y2_043_356,1,,,
G15_Y1_DN1_370,,1,,DN1 field error
G15_Y4_204_359,1,,,
G12_Y1_AS1_054,1,,,
G09_Y1_BS1_064,1,,,
G15_Y4_205_354,1,,,
G12_Y1_CS1_056,1,,,
G09_Y2_027_110,1,,,
G15_Y1_DN1_368,,1,,DN1 field error
G02_Y4_001_325,,,1,
G15_Y1_DN1_392,,1,,DN1 field error
G15_Y1_DN1_353,,1,,DN1 field error
G02_Y3_019_040,1,,,
G02_Y4_028_071,1,,,
G15_Y1_DN1_315,,1,,DN1 field error
G15_Y1_DN1_381,,1,,DN1 field error
G15_Y1_IS1_279,1,,,
G15_Y1_DN1_373,,1,,DN1 field error
G09_Y2_028_108,1,,,
G15_Y1_DN1_365,,1,,DN1 field error
G02_Y4_041_061,1,,,
G15_Y4_205_379,1,,,
G15_Y1_DN1_399,,1,,DN1 field error
G15_Y3_011_216,1,,,
G15_Y1_DN1_313,,1,,DN1 field error
G15_Y2_020_354,1,,,
G15_Y2_009_108,1,,,
G09_Y1_GS2_244,1,,,
G15_Y6_082_046,,1,,045 like
G15_Y2_017_120,1,,,
G15_Y4_236_392,,1,,
G15_Y4_207_168,1,,,
G15_Y1_DN1_342,,1,,DN1 field error
G15_Y2_020_108,1,,,
G15_Y1_DN1_356,,1,,DN1 field error
G15_Y4_207_055,1,,,
G15_Y3_014_116,1,,,
G02_Y4_029_125,1,,,
G15_Y5_010_314,1,,,
G15_Y4_236_383,,1,,
G15_Y1_ES1_054,1,,,
G15_Y3_014_275,1,,,
G15_Y4_236_379,,1,,
G15_Y6_082_033,,1,,045 like
G15_Y3_040_279,1,,,
G15_Y1_DN1_301,,1,,DN1 field error
G02_Y6_013_229,,,1,
G15_Y3_016_381,1,,,
G15_Y3_011_115,1,,,
G15_Y1_DN1_361,,1,,DN1 field error
G15_Y4_207_040,,,,
G15_Y4_207_169,,,,
G15_Y1_DN1_362,,1,,DN1 field error
G15_Y4_225_360,1,,,
G09_Y1_HN2_031,1,,,
G15_Y3_011_275,1,,,
G15_Y4_215_129,1,,,
G15_Y4_203_252,1,,,
G15_Y4_236_381,,,1,
G12_Y4_211_108,1,,,
G15_Y1_DN1_380,,1,,DN1 field error
G15_Y4_236_372,,1,,
G09_Y4_212_241,1,,,
G15_Y2_010_397,1,,,
G15_Y2_011_341,1,,,
G15_Y4_207_064,1,,,
G15_Y4_236_370,,1,,
G02_Y4_032_037,1,,,
G15_Y4_236_364,,1,,
G02_Y3_019_037,1,,,
G15_Y3_006_110,1,,,
G15_Y1_IS1_079,1,,,
G15_Y3_011_354,1,,,
G15_Y6_082_049,,1,,045 like
G12_Y1_FN1_271,1,,,
G02_Y4_035_061,1,,,
G09_Y1_GN2_003,1,,,
G15_Y4_202_036,1,,,
G02_Y4_039_058,,,1,
G15_Y3_032_254,,,1,
G09_Y6_093_390,,1,,
G09_Y1_BN2_056,1,,,
G09_Y1_DN1_055,1,,,
G15_Y4_236_355,1,,,
G09_Y1_GS2_161,1,,,
G02_Y6_005_036,,1,,bad splice
G15_Y6_091_185,,,1,
G15_Y1_DN1_307,,1,,DN1 field error
G15_Y4_216_080,1,,,
G15_Y3_014_108,1,,,
G15_Y4_215_241,1,,,
G15_Y4_203_026,1,,,
G15_Y1_AN2_117,1,,,
G02_Y4_031_080,1,,,
G15_Y2_012_028,1,,,
G15_Y1_DN1_317,,1,,DN1 field error
G15_Y4_236_384,,1,,
G15_Y4_209_015,,,1,
G15_Y3_031_038,,,1,
G15_Y3_010_353,1,,,
G15_Y2_016_016,,,1,
G02_Y3_015_273,1,,,
G15_Y3_035_067,,1,,bad splice
G15_Y2_015_354,1,,,
G12_Y1_BS1_055,1,,,
G02_Y4_028_271,1,,,
G02_Y3_003_371,1,,,
G15_Y3_006_279,,,1,
G15_Y4_236_394,,1,,
G02_Y4_045_120,1,,,
G02_Y4_028_241,1,,,
G02_Y4_025_353,1,,,
G15_Y2_020_345,1,,,
G12_Y5_021_172,,,1,
G02_Y4_044_165,1,,,
G15_Y1_DN1_292,,1,,DN1 field error
G15_Y4_236_389,,1,,
G12_Y1_HS2_345,1,,,
G15_Y3_010_026,1,,,
G15_Y4_237_367,,1,,
G02_Y5_091_394,,,1,
G15_Y4_237_370,,1,,
G15_Y3_052_387,1,,,
G15_Y1_DN1_305,,,1,DN1 field error
G15_Y4_207_161,1,,,
G15_Y4_225_345,1,,,
G09_Y4_208_393,1,,,
G15_Y1_GS2_117,1,,,
G15_Y4_205_104,1,,,
G02_Y4_038_233,,1,,bad splice
G15_Y4_236_371,,1,,
G12_Y1_FS1_080,1,,,
G09_Y1_EN1_055,1,,,
G15_Y1_IS1_276,1,,,
G12_Y4_205_102,1,,,
G15_Y4_237_360,,1,,
G15_Y2_012_023,1,,,
G15_Y2_020_103,1,,,
G12_Y1_ED1_279,1,,,
G02_Y4_039_078,,1,,bad splice
G15_Y4_205_361,1,,,
G15_Y4_223_395,1,,,
G15_Y4_204_242,,1,,bad splice
G15_Y2_009_342,1,,,
G12_Y1_ND1_061,1,,,
G15_Y4_225_353,1,,,
G02_Y4_042_061,1,,,
G15_Y2_002_004,1,,,
G15_Y3_017_120,1,,,
G09_Y1_BN2_060,1,,,
G15_Y3_049_019,,,1,
G15_Y4_236_362,,1,,
G12_Y1_FN1_079,1,,,
G15_Y4_201_287,1,,,
G09_Y1_BS1_040,1,,,
G09_Y2_031_362,1,,,
G15_Y3_042_276,1,,,
G15_Y4_202_161,1,,,
G15_Y4_238_388,,1,,
G02_Y4_034_393,1,,,
G15_Y4_240_101,,,1,
G09_Y1_GX1_007,,,1,
G15_Y6_101_383,,1,,
G02_Y4_032_125,1,,,
G15_Y4_204_040,1,,,
G15_Y1_DN1_285,,1,,DN1 field error
G15_Y4_236_377,,1,,
G15_Y3_021_275,1,,,
G15_Y4_202_317,,,1,
G12_Y1_GS1_036,1,,,
G15_Y4_238_360,,1,,
G02_Y4_038_332,,,1,
G15_Y3_002_169,1,,,
G02_Y3_020_275,1,,,
G02_Y5_088_384,1,,,
G09_Y2_011_361,1,,,
G15_Y1_BX2_345,1,,,
G15_Y6_078_388,,1,,bad splice
G09_Y4_204_161,1,,,
G15_Y2_020_032,,1,,bad splice
G15_Y1_DS1_106,1,,,
G02_Y6_012_019,,1,,bad splice
G15_Y2_022_021,1,,,
G15_Y4_211_009,,1,,bad splice
G15_Y2_022_345,1,,,
G15_Y4_236_360,,1,,
G15_Y2_015_117,1,,,
G15_Y3_029_103,1,,,
G02_Y4_043_369,,1,,bad splice
G15_Y1_DN1_331,,1,,DN1 field error
G15_Y1_BN2_023,1,,,
G15_Y4_238_386,,1,,
G09_Y1_EN1_161,1,,,
G02_Y4_025_211,1,,,
G02_Y4_028_211,1,,,
G15_Y4_237_395,,1,,
G15_Y3_012_011,,1,,bad splice
G15_Y4_203_104,1,,,
G15_Y3_014_115,1,,,
G15_Y3_015_056,,1,,bad splice
G02_Y4_033_219,,1,,bad splice
G15_Y4_211_037,,1,,bad splice
G15_Y2_014_020,,1,,bad splice
G15_Y1_DS2_044,,1,,bad splice
G02_Y5_116_374,,1,,bad splice
G15_Y1_AN2_124,1,,,
G15_Y6_076_380,,,1,
G15_Y3_008_108,1,,,
G15_Y6_101_371,,1,,
G15_Y4_203_366,1,,,
G15_Y4_205_281,1,,,
G09_Y4_238_353,1,,,
G15_Y3_011_112,1,,,
G15_Y4_204_308,1,,,
G15_Y2_012_116,1,,,
G15_Y4_237_378,,1,,
G15_Y6_090_390,,1,,bad splice
G15_Y3_029_369,,,1,
G15_Y3_014_110,1,,,
G15_Y4_236_357,,1,,
G02_Y3_005_342,1,,,
G09_Y1_BS2_245,,1,,bad splice
G02_Y4_028_279,1,,,
G15_Y4_236_369,,1,,
G15_Y2_009_394,,1,,bad splice
G15_Y4_204_035,,1,,bad splice
G15_Y5_024_040,1,,,
G02_Y5_106_381,,1,,bad splice
G15_Y4_202_248,1,,,
G09_Y4_225_055,1,,,
G15_Y4_238_389,,1,,
G15_Y2_015_103,1,,,
G15_Y4_238_362,,1,,
G15_Y3_052_174,,,1,
G15_Y2_018_369,,,1,
G02_Y4_039_010,,1,,bad splice
G12_Y1_CS1_122,1,,,
G15_Y3_021_360,1,,,
G15_Y2_011_269,1,,,
G15_Y4_236_388,,1,,
G15_Y1_AN1_387,1,,,
G15_Y4_238_377,,1,,
G15_Y6_101_381,,1,,
G15_Y4_203_243,1,,,
G15_Y2_006_174,,,1,
G15_Y4_236_380,,1,,
G15_Y1_FN1_116,1,,,
G15_Y5_012_241,1,,,
G15_Y2_009_345,1,,,
G15_Y6_074_331,,1,,bad splice
G12_Y6_056_080,,1,,bad splice
G15_Y1_DS2_080,,1,,bad splice
G15_Y5_012_365,1,,,
G15_Y2_009_028,1,,,
G09_Y1_GN1_341,1,,,
G15_Y6_097_047,,1,,bad splice
G15_Y2_020_110,1,,,
G15_Y1_DS2_060,,1,,bad splice
G15_Y6_101_374,,1,,
G02_Y3_015_190,,1,,
G15_Y1_DN1_116,,1,,DN1 field error
G15_Y4_221_348,1,,,
G09_Y5_020_060,1,,,
G15_Y2_023_162,,,1,
G15_Y1_DN1_273,,1,,DN1 field error
G15_Y1_DN1_324,,1,,DN1 field error
G02_Y6_015_094,,1,,bad splice
G02_Y5_059_125,,,1,
G15_Y6_093_391,,1,,
G15_Y3_011_080,1,,,
G15_Y4_203_024,,1,,
G15_Y2_013_025,,1,,
G15_Y2_016_060,1,,,
G02_Y6_006_392,,1,,bad splice
G15_Y4_236_367,,1,,
G02_Y4_044_061,1,,,
G02_Y4_035_128,,,1,
G15_Y4_204_023,,1,,bad splice
G15_Y3_029_156,,1,,bad splice
G02_Y4_032_102,,1,,bad splice
G12_Y1_CN1_056,1,,,
G15_Y3_002_057,,1,,bad splice
G15_Y2_013_107,1,,,
G09_Y1_IN2_260,1,,,
G15_Y6_108_219,1,,,
G15_Y1_GN1_079,1,,,
G15_Y5_029_063,1,,,
G09_Y1_BN2_161,1,,,
G15_Y1_DS2_013,,1,,bad splice
G15_Y5_003_281,1,,,
G15_Y1_FS2_267,1,,,
G15_Y3_017_345,1,,,
G15_Y1_DS2_033,,1,,bad splice
G15_Y6_100_399,,1,,bad splice
G15_Y4_206_341,1,,,
G12_Y1_DN1_397,,1,,DN1 field error
G09_Y1_AS2_120,1,,,
G15_Y3_049_332,1,,,
G15_Y6_100_386,,1,,
G15_Y3_010_342,1,,,
G12_Y4_210_377,,1,,
G12_Y2_024_008,,1,,bad splice
G15_Y1_DN2_362,,1,,
G15_Y3_021_102,1,,,
G09_Y1_IS2_028,1,,,
G15_Y4_213_241,1,,,
G15_Y1_BN2_026,1,,,
G15_Y1_CN1_080,1,,,
G15_Y3_009_387,1,,,
G15_Y3_015_040,1,,,
G12_Y1_FT_087,,1,,bad splice
G02_Y4_041_125,1,,,
G15_Y3_008_198,,1,,
G15_Y4_206_161,1,,,
G15_Y3_009_161,1,,,
G15_Y4_211_060,1,,,
G15_Y6_100_391,1,,,
G15_Y3_012_063,,1,,bad splice
G15_Y2_017_387,,1,,bad splice
G09_Y5_017_055,1,,,
G02_Y5_100_138,,,1,
G12_Y2_011_374,,,1,
G12_Y6_057_366,,1,,bad splice
G15_Y6_102_029,,1,,bad splice
G15_Y4_237_353,,1,,
G02_Y4_043_282,1,,,
G15_Y4_238_315,,1,,bad splice
G15_Y6_095_370,1,,,
G15_Y3_038_339,,1,,bad splice
G02_Y4_042_218,,1,,bad splice
G15_Y6_090_396,,1,,bad splice
G02_Y4_045_278,1,,,
G15_Y1_DN1_279,,1,,DN1 field error
G02_Y6_012_021,,1,,bad splice
G02_Y5_085_138,,1,,bad splice
G15_Y6_098_396,,1,,
G02_Y4_029_235,,1,,bad splice
G15_Y4_236_363,,1,,
G15_Y4_215_043,,1,,bad splice
G15_Y3_046_073,,,1,
G15_Y6_071_375,,1,,bad splice
G15_Y4_215_397,,1,,
G02_Y5_107_068,,1,,bad splice
G15_Y4_205_243,1,,,
G15_Y1_CN1_276,1,,,
G02_Y6_004_045,,1,,bad splice
G15_Y2_010_020,,1,,bad splice
G15_Y3_048_361,,1,,bad splice
G15_Y3_010_367,,1,,bad splice
G15_Y4_215_018,,1,,bad splice
G15_Y1_DS2_043,,1,,bad splice
G15_Y6_097_159,,1,,bad splice
G15_Y3_015_205,,1,,bad splice
G02_Y6_006_371,,1,,bad splice
G15_Y5_061_197,,,1,
G15_Y4_236_252,1,,,
G15_Y5_023_040,,1,,bad splice
G15_Y6_089_006,,1,,bad splice
G02_Y4_044_081,,1,,bad splice
G15_Y1_DS2_015,,1,,bad splice
G02_Y3_006_345,,,1,
G15_Y6_088_033,,1,,bad splice
G15_Y6_088_310,,1,,bad splice
G15_Y2_010_015,,1,,bad splice
G15_Y3_029_108,1,,,
G15_Y2_004_021,,1,,bad splice
G02_Y4_001_055,,1,,bad splice
G15_Y4_238_396,,1,,
G02_Y5_050_005,,1,,bad splice
G15_Y4_204_010,,1,,bad splice
G15_Y2_004_057,,1,,bad splice
G15_Y6_102_001,,1,,bad splice
G15_Y1_DN1_006,,1,,DN1 field error
G02_Y4_041_031,,1,,bad splice
G15_Y5_020_085,,1,,bad splice
G15_Y1_DN1_289,,1,,DN1 field error
G15_Y6_093_393,,1,,
G15_Y6_099_014,,1,,bad splice
G15_Y3_006_241,1,,,
G15_Y2_010_016,,1,,
G15_Y4_211_061,1,,,
G15_Y3_009_096,,1,,bad splice
G15_Y3_028_215,,1,,bad splice
G15_Y6_087_039,,1,,bad splice
G15_Y2_015_275,1,,,
G15_Y4_203_198,,1,,bad splice
G15_Y6_097_355,1,,,
G15_Y3_015_021,,1,,bad splice
G02_Y5_088_354,,1,,bad splice
G12_Y3_045_374,,1,,
G02_Y4_043_204,,1,,bad splice
G15_Y4_204_036,1,,,
G15_Y6_095_096,,1,,bad splice
G02_Y6_005_368,,1,,bad splice
G15_Y2_020_275,1,,,
G02_Y4_042_363,,1,,bad splice
G09_Y2_011_127,1,,,
G15_Y6_094_382,,1,,bad splice
G15_Y3_012_073,,1,,bad splice
G12_Y6_060_075,,1,,bad splice
G15_Y2_009_393,,1,,bad splice
G15_Y3_050_315,,,1,
G15_Y4_206_020,,1,,bad splice
G15_Y6_102_116,,1,,bad splice
G15_Y3_015_099,,1,,bad splice
G15_Y6_094_367,,1,,bad splice
G02_Y3_006_160,,,1,
G09_Y3_007_102,1,,,
G15_Y3_042_385,1,,,
G15_Y4_203_012,,1,,bad splice
G15_Y6_093_361,,1,,
G15_Y1_DS2_079,,1,,
G15_Y4_211_055,,1,,bad splice
G02_Y4_039_157,,1,,bad splice
G02_Y5_107_016,,1,,bad splice
G15_Y2_010_024,,1,,bad splice
G15_Y6_101_382,,1,,
G15_Y2_014_076,,1,,bad splice
G15_Y6_082_012,,1,,bad splice
G15_Y6_088_380,,1,,
G09_Y4_227_383,,1,,red missing
G15_Y4_209_054,1,,,
G15_Y6_088_289,,1,,
G15_Y4_230_004,,1,,
G15_Y6_094_366,,1,,bad splice
